property_id	property_label	description
P12618	ID of member of the Chambre des députés	ID of a member of the Chambre des députés
P12619	Algerian National Statistics Office ID	identifier for the subject issued by the ANOS (Algerian National Office of Statistics)
P12620	mosff.ru staff ID	identifier for a staff at the mosff.ru
P12621	beneficial owner	natural person or persons who ultimately owns or controls a company or organisation
P12622	PeerTube channel address	address for a channel on a PeerTube instance, in 'user@server.domain' format
P12623	WDF player ID	identifier for an players on the WDF website
P12624	The Spriters Resource game ID	identifier for a video game on The Spriters Resource
P12625	Cemu Wiki article ID	identifier for an article on the Cemu Wiki
P12626	Génération Nintendo game ID	identifier of a video game at the website generation-nintendo.com
P12627	British Comedy Guide person ID	Identifier of a person on comedy.co.uk
P12628	The Oxford Dictionary of Islam ID	identifier for a subject page in The Oxford Dictionary of Islam
P12629	Zillow zpid	numeric identifier used for real estate
P12630	Aragonario ID (6th version)	identifier for an Aragonese or Spanish lexeme in the Aragonese-Spanish online dictionary (version since January 2023)
P12631	The Oxford Encyclopedia of the Islamic World ID	identifier for a subject page in The Oxford Encyclopedia of the Islamic World: Digital Collection
P12632	Algerian trademark number ID	identifier for a trademark in the Algerian National Industrial Property Institute
P12633	Dictionary of Qur'anic Usage ID	identifier of an article from the Dictionary of Qur'anic Usage
P12634	official server list URL	website, officially recommended by the developer of the software, that lists public server instances of the software
P12635	Delisted Games ID	identifier for a game on Delisted Games
P12636	Algerian commune ID	identifier for a commune in the Ministry of the Interior of Algeria
P12637	The Oxford Encyclopedia of Islam and Women ID	identifier for a subject page in The Oxford Encyclopedia of Islam and Women
P12638	The Islamic World: Past and Present ID	identifier for a subject page in The Islamic World: Past and Present
P12639	The Concise Oxford Dictionary of World Religions ID	identifier for a subject page in The Concise Oxford Dictionary of World Religions
P12640	pressball.by football manager ID	pressball.by identifier for an association football (soccer) manager
P12641	Duden sense ID	A URL slug of a sense in duden.de
P12642	EBITDA	accounting measure: net earnings, before interest expenses, taxes, depreciation, and amortization are subtracted
P12643	date popularized	point in time the subject became well known to the public, if different from its inception
P12644	GovTrack person ID	numeric identifier for a person on the GovTrack website
P12645	PlantZAfrica Plants of the Week ID	identifier for a southern African plant featured on the PlantZAfrica website
P12646	Kritikanstvo game ID	identifier of a video game in the Kritikanstvo database
P12647	Kritikanstvo publication ID	identifier of a gaming or any other Russian-language publication in the Kritikanstvo database
P12648	Kritikanstvo critic ID	identifier of a critic in the Kritikanstvo database
P12649	number of accepted contributions	number of accepted submissions, e.g., conference articles to a conference
P12650	electoral symbol	symbol allocated to a political party or candidate for use on ballots
P12651	authorised capital	maximum amount of share capital that the company is authorised to issue to shareholders
P12652	myabandonware.com game ID	identifier of a video game in the My Abandonware database
P12653	FürthWiki article ID	identifier for an article in FürthWiki
P12654	IAFD film UUID	identifier for a film in the Internet Adult Film Database
P12655	number of submissions	number of submissions, e.g., submitted papers to a conference
P12657	follows spelling pattern	spelling rule, pattern or paradigm followed by this form
P12658	A Dictionary of Arabic Literary Terms and Devices ID	identifier for a subject page in A Dictionary of Arabic Literary Terms and Devices
P12659	Rugby Romania ID	Rugby Romania identifier
P12660	Scottish Register of Tartans ID	identifier on the Scottish Register of Tartans , a repository of tartans
P12661	Asociation Espanola de Amigos de los Castillos ID	~8000 castles and medival towers in Spain
P12662	NICE Paintings ID	numerical identifier for an artwork in the National Inventory of Continental European Paintings online database
P12663	risk group	risk group of a biological agent guiding its initial handling in labs according to the risk group classification defined by the WHO laboratory biosafety manual
P12664	Sonic Retro article ID	identifier for an article on the Sonic Retro
P12665	Algerian district ID	identifier for a district in the Ministry of the Interior of Algeria
P12666	English & Scottish Football League transfers player ID	identifier for a player's profile on the "Post War English & Scottish Football League A–Z Player's Transfer Database" website by Neil Brown
P12667	The Spriters Resource platform ID	identifier for a video game console on The Spriters Resource
P12668	Encyklopedia Medyków Powstania Warszawskiego ID	ID of a person in l'Encyklopedia Medyków Powstania Warszawskiego
P12669	Cerist.dz CCDZ ID	Cerist CCDZ identifier of a thesis or a PhD holder or a jury member or an institution, on the Algerian thesis database and recorded in the Centre de Recherche sur l'Information Scientifique et Technique
P12670	Flora Croatica Database taxon ID	identifier for a taxon in the Flora Croatica Database
P12671	Quadrinhopédia artist ID	identifier for an article on the online biographical reference work about Brazilian comics artists
P12672	SPV profile ID	ID sportspeople on NPC of Slovakia website
P12673	CPV profile ID	ID sportspeople on NPC of Czech Republic website
P12674	Kunstenpunt Knowledge Graph ID	identifier in the Flanders Arts Institute database for performing arts
P12675	The Oxford Dictionary of Phrase and Fable ID	identifier for an entry in The Oxford Dictionary of Phrase and Fable
P12676	Hindawi Foundation book ID	property for IDs of books published by Hindawi Foundation
P12677	timetable/schedule URL	link to the timetable or the schedule (in PDF, HTML, image format) for the given service or the event schedule. The current timetable/schedule should have preferred rank.
P12678	The Oxford Essential Dictionary of Foreign Terms in English ID	identifier for a subject page in The Oxford Essential Dictionary of Foreign Terms in English
P12679	Pennsylvania State Senate ID	identifier for a Pennsylvania State senator
P12680	deterioration	to indicate types of deterioration presented by an artwork, building, artifact, etc.
P12681	Vanhan kirjasuomen sanakirja ID	identifier for an entry in the dictionary of older written Finnish published by Kotus
P12682	Suomi–ruotsi-suursanakirja ID	identifier for an entry in the Finnish-Swedish comprehensive dictionary maintained by Kotus
P12683	FilmVandaag ID	identifier for a movie or TV show on FilmVandaag
P12684	FBW ID	identifier for films with a certification mark on the website of the "Deutsche Film- und Medienbewertung (FBW)"
P12685	Encyclopedia of the Middle Ages ID	identifier for a subject page in the Encyclopedia of the Middle Ages
P12686	category for this time births	category item for people who born in this time
P12687	category for this time deaths	category item for people who died in this time
P12688	Jerusalem Film Cinematheque person ID	identifier for a person in the Jerusalem Film Cinematheque database
